Position,Club,P,W,D,L,GF,GA,GD,PTS
1,Manchester City,13,9,1,3,40,11,29,28
2,Liverpool,13,8,2,3,30,23,7,26
3,Tottenham Hotspur,13,7,4,2,26,12,14,25
4,Chelsea,13,8,1,4,28,21,7,25
5,Arsenal,14,8,1,5,24,17,7,25
6,Manchester United,12,7,3,2,27,17,10,24
7,Southampton,13,7,3,3,21,14,7,24
8,Everton,13,7,3,3,19,15,4,24
9,Wolves,13,7,1,5,14,13,1,22
10,Aston Villa,13,5,4,4,18,13,5,19
11,West Ham United,13,5,3,5,22,16,6,18
12,Leicester City,13,5,3,5,21,20,1,18
13,Newcastle United,13,4,4,5,19,22,-3,16
14,Burnley,12,4,3,5,12,18,-6,15
15,Brighton & Hove Albion,13,4,3,6,15,24,-9,15
16,Sheffield United,14,3,2,9,10,20,-10,11
17,Crystal Palace,13,3,1,9,10,25,-15,10
18,Leeds,4,2,1,1,9,8,1,7
19,West Brom,4,0,1,3,5,13,-8,1
20,Fulham,4,0,0,4,3,11,-8,0
