Club Name,19/20 placement,18/19 placement,17/18 placement,16/17 placement,15/16 placement
Arsenal ,8,5,6,5,2
Aston Villa ,17,N/A,N/A,N/A,20
Brighton and Hove Albion,15,17,15,N/A,N/A
Burnley,10,15,7,16,N/A
Chelsea,4,3,5,1,10
Crystal Palace,14,12,11,14,15
Everton,12,8,8,7,11
Fulham,N/A,19,N/A,N/A,N/A
Leeds United ,N/A,N/A,N/A,N/A,N/A
Leicester City,5,9,9,12,1
Liverpool,1,2,4,4,8
Manchester City,2,1,1,3,4
Manchester United,3,6,2,6,5
Newcastle United,13,13,10,N/A,18
Sheffield United,9,N/A,N/A,N/A,N/A
Southampton,11,16,17,8,6
Tottenham Hotspur,6,4,3,2,3
West Brom Albion,N/A,N/A,20,10,14
West Ham United,16,10,13,11,7
Wolverhampton Wanderers,7,7,N/A,N/A,N/A
